req_1d_1s,req_1d_2s,req_1d_3s,req_2d_1s,req_2d_2s,req_2d_3s,req_3d_1s,req_3d_2s,req_3d_3s,req_4d_1s,req_4d_2s,req_4d_3s,req_5d_1s,req_5d_2s,req_5d_3s,req_6d_1s,req_6d_2s,req_6d_3s,req_7d_1s,req_7d_2s,req_7d_3s,req_8d_1s,req_8d_2s,req_8d_3s,req_9d_1s,req_9d_2s,req_9d_3s,req_10d_1s,req_10d_2s,req_10d_3s,req_11d_1s,req_11d_2s,req_11d_3s,req_12d_1s,req_12d_2s,req_12d_3s,req_13d_1s,req_13d_2s,req_13d_3s,req_14d_1s,req_14d_2s,req_14d_3s,req_15d_1s,req_15d_2s,req_15d_3s,req_16d_1s,req_16d_2s,req_16d_3s,req_17d_1s,req_17d_2s,req_17d_3s,req_18d_1s,req_18d_2s,req_18d_3s,req_19d_1s,req_19d_2s,req_19d_3s,req_20d_1s,req_20d_2s,req_20d_3s,req_21d_1s,req_21d_2s,req_21d_3s,req_22d_1s,req_22d_2s,req_22d_3s,req_23d_1s,req_23d_2s,req_23d_3s,req_24d_1s,req_24d_2s,req_24d_3s,req_25d_1s,req_25d_2s,req_25d_3s,req_26d_1s,req_26d_2s,req_26d_3s,req_27d_1s,req_27d_2s,req_27d_3s,req_28d_1s,req_28d_2s,req_28d_3s,req_29d_1s,req_29d_2s,req_29d_3s,req_30d_1s,req_30d_2s,req_30d_3s
18,24,17,27,25,23,24,17,22,27,20,26,27,20,17,19,22,15,23,23,23,19,27,17,23,28,20,15,21,21,15,23,24,29,15,15,23,27,28,18,18,20,17,23,27,23,28,25,22,26,20,16,25,24,18,19,27,20,23,21,27,19,21,19,21,15,22,15,22,18,21,25,23,24,23,18,24,25,21,26,29,16,17,23,28,25,22,17,29,22
pref_1d_1s,pref_1d_2s,pref_1d_3s,pref_2d_1s,pref_2d_2s,pref_2d_3s,pref_3d_1s,pref_3d_2s,pref_3d_3s,pref_4d_1s,pref_4d_2s,pref_4d_3s,pref_5d_1s,pref_5d_2s,pref_5d_3s,pref_6d_1s,pref_6d_2s,pref_6d_3s,pref_7d_1s,pref_7d_2s,pref_7d_3s,pref_8d_1s,pref_8d_2s,pref_8d_3s,pref_9d_1s,pref_9d_2s,pref_9d_3s,pref_10d_1s,pref_10d_2s,pref_10d_3s,pref_11d_1s,pref_11d_2s,pref_11d_3s,pref_12d_1s,pref_12d_2s,pref_12d_3s,pref_13d_1s,pref_13d_2s,pref_13d_3s,pref_14d_1s,pref_14d_2s,pref_14d_3s,pref_15d_1s,pref_15d_2s,pref_15d_3s,pref_16d_1s,pref_16d_2s,pref_16d_3s,pref_17d_1s,pref_17d_2s,pref_17d_3s,pref_18d_1s,pref_18d_2s,pref_18d_3s,pref_19d_1s,pref_19d_2s,pref_19d_3s,pref_20d_1s,pref_20d_2s,pref_20d_3s,pref_21d_1s,pref_21d_2s,pref_21d_3s,pref_22d_1s,pref_22d_2s,pref_22d_3s,pref_23d_1s,pref_23d_2s,pref_23d_3s,pref_24d_1s,pref_24d_2s,pref_24d_3s,pref_25d_1s,pref_25d_2s,pref_25d_3s,pref_26d_1s,pref_26d_2s,pref_26d_3s,pref_27d_1s,pref_27d_2s,pref_27d_3s,pref_28d_1s,pref_28d_2s,pref_28d_3s,pref_29d_1s,pref_29d_2s,pref_29d_3s,pref_30d_1s,pref_30d_2s,pref_30d_3s
1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0
1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1
1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1
1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1
1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0
1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0
