req_1d_1s,req_1d_2s,req_1d_3s,req_2d_1s,req_2d_2s,req_2d_3s,req_3d_1s,req_3d_2s,req_3d_3s,req_4d_1s,req_4d_2s,req_4d_3s,req_5d_1s,req_5d_2s,req_5d_3s,req_6d_1s,req_6d_2s,req_6d_3s,req_7d_1s,req_7d_2s,req_7d_3s
9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7
pref_1d_1s,pref_1d_2s,pref_1d_3s,pref_2d_1s,pref_2d_2s,pref_2d_3s,pref_3d_1s,pref_3d_2s,pref_3d_3s,pref_4d_1s,pref_4d_2s,pref_4d_3s,pref_5d_1s,pref_5d_2s,pref_5d_3s,pref_6d_1s,pref_6d_2s,pref_6d_3s,pref_7d_1s,pref_7d_2s,pref_7d_3s
0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0
1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1
0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1
1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0
1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1
0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
